player,player_norm,pos,team,has_espn_projection,eligible,r_pass_yds,r_pass_tds,r_rush_yds,r_rush_tds,r_receptions,r_rec_yds,r_rec_tds,ros_half_ppr,weeks_covered,season_block_half_ppr,espn_snapshot_date
Josh Allen,josh allen,QB,BUF,True,True,3674.1,24.6,517.7,11.5,0.0,0.0,0.0,366.13,3-18,366.31,2026-09-21
Jahmyr Gibbs,jahmyr gibbs,RB,DET,True,True,0.0,0.0,1555.8,16.1,60.3,491.7,3.2,350.70,3-18,350.46,2026-09-21
Lamar Jackson,lamar jackson,QB,BAL,True,True,3656.1,24.9,636.7,3.9,0.0,0.0,0.0,332.91,3-18,332.95,2026-09-21
Drake Maye,drake maye,QB,NE,True,True,3754.6,24.8,504.5,3.2,0.0,0.0,0.0,319.03,3-18,319.07,2026-09-21
Jaxson Dart,jaxson dart,QB,NYG,True,True,3457.3,22.7,541.0,5.2,0.0,0.0,0.0,314.39,3-18,314.39,2026-09-21
Jalen Hurts,jalen hurts,QB,PHI,True,True,3476.8,21.6,410.6,7.6,0.0,0.0,0.0,312.13,3-18,311.72,2026-09-21
Brock Purdy,brock purdy,QB,SF,True,True,3876.4,26.5,294.5,3.5,0.0,0.0,0.0,311.51,3-18,311.36,2026-09-21
Kyler Murray,kyler murray,QB,MIN,True,True,3498.6,23.3,480.7,3.8,0.0,0.0,0.0,304.01,3-18,304.08,2026-09-21
Patrick Mahomes,patrick mahomes,QB,KC,True,True,3618.0,26.1,323.7,2.8,0.0,0.0,0.0,298.29,3-18,298.15,2026-09-21
Jonathan Taylor,jonathan taylor,RB,IND,True,True,0.0,0.0,1419.7,14.2,46.9,380.7,1.5,297.69,3-18,297.90,2026-09-21
Joe Burrow,joe burrow,QB,CIN,True,True,3800.2,29.1,174.4,1.4,0.0,0.0,0.0,294.25,3-18,294.42,2026-09-21
Tyler Shough,tyler shough,QB,NO,True,True,3647.4,24.1,266.2,4.2,0.0,0.0,0.0,294.12,3-18,293.99,2026-09-21
Trevor Lawrence,trevor lawrence,QB,JAX,True,True,3711.7,23.6,269.3,4.0,0.0,0.0,0.0,293.80,3-18,293.57,2026-09-21
Dak Prescott,dak prescott,QB,DAL,True,True,3755.1,27.1,205.1,2.1,0.0,0.0,0.0,291.71,3-18,291.59,2026-09-21
Bo Nix,bo nix,QB,DEN,True,True,3630.5,23.7,297.4,2.9,0.0,0.0,0.0,287.16,3-18,287.16,2026-09-21
Matthew Stafford,matthew stafford,QB,LAR,True,True,3909.2,30.8,35.1,0.6,0.0,0.0,0.0,286.68,3-18,287.07,2026-09-21
Bryce Young,bryce young,QB,CAR,True,True,3601.2,23.5,270.0,2.5,0.0,0.0,0.0,280.05,3-18,280.08,2026-09-21
Jared Goff,jared goff,QB,DET,True,True,3845.7,28.6,37.9,0.8,0.0,0.0,0.0,276.82,3-18,276.94,2026-09-21
Baker Mayfield,baker mayfield,QB,TB,True,True,3553.3,22.8,293.7,2.2,0.0,0.0,0.0,275.90,3-18,276.04,2026-09-21
Kenneth Walker III,kenneth walker iii,RB,KC,True,True,0.0,0.0,1246.5,10.3,50.6,425.0,2.6,269.85,3-18,269.83,2026-09-21
Bijan Robinson,bijan robinson,RB,ATL,True,True,0.0,0.0,1151.7,6.6,65.9,620.2,3.3,269.54,3-18,269.89,2026-09-21
Jordan Love,jordan love,QB,GB,True,True,3721.5,23.7,152.1,1.6,0.0,0.0,0.0,268.47,3-18,268.60,2026-09-21
Justin Herbert,justin herbert,QB,LAC,True,True,3519.6,19.5,329.8,2.2,0.0,0.0,0.0,264.96,3-18,265.02,2026-09-21
Puka Nacua,puka nacua,WR,LAR,True,True,0.0,0.0,69.5,0.8,107.7,1444.4,8.8,262.84,3-18,262.92,2026-09-21
Caleb Williams,caleb williams,QB,CHI,True,True,3271.5,19.1,386.2,2.6,0.0,0.0,0.0,261.48,3-18,261.30,2026-09-21
De'Von Achane,devon achane,RB,MIA,True,True,0.0,0.0,1260.4,5.5,63.4,522.5,3.0,260.99,3-18,261.55,2026-09-21
Derrick Henry,derrick henry,RB,BAL,True,True,0.0,0.0,1450.2,12.6,21.9,198.1,1.1,257.98,3-18,258.45,2026-09-21
Christian McCaffrey,christian mccaffrey,RB,SF,True,True,0.0,0.0,904.3,7.7,72.1,600.9,4.1,257.37,3-18,257.54,2026-09-21
C.J. Stroud,cj stroud,QB,HOU,True,True,3646.3,20.4,221.0,1.0,0.0,0.0,0.0,255.55,3-18,255.77,2026-09-21
Jaxon Smith-Njigba,jaxon smithnjigba,WR,SEA,True,True,0.0,0.0,22.1,0.2,109.0,1434.9,8.5,252.40,3-18,252.43,2026-09-21
Sam Darnold,sam darnold,QB,SEA,True,True,3654.0,22.2,108.8,1.0,0.0,0.0,0.0,251.84,3-18,251.66,2026-09-21
Malik Willis,malik willis,QB,MIA,True,True,3419.2,12.6,453.1,2.9,0.0,0.0,0.0,249.88,3-18,249.77,2026-09-21
Daniel Jones,daniel jones,QB,IND,True,True,3366.1,18.9,213.9,3.0,0.0,0.0,0.0,249.63,3-18,249.29,2026-09-21
Amon-Ra St. Brown,amonra st brown,WR,DET,True,True,0.0,0.0,10.6,0.1,112.7,1320.6,9.9,249.47,3-18,249.42,2026-09-21
Geno Smith,geno smith,QB,NYJ,True,True,3521.3,19.2,204.7,1.5,0.0,0.0,0.0,247.12,3-18,247.04,2026-09-21
Ja'Marr Chase,jamarr chase,WR,CIN,True,True,0.0,0.0,19.1,0.1,109.9,1321.7,9.4,246.03,3-18,246.47,2026-09-21
Ashton Jeanty,ashton jeanty,RB,LV,True,True,0.0,0.0,1018.5,7.0,64.5,498.4,2.5,240.94,3-18,240.90,2026-09-21
Michael Penix Jr.,michael penix jr,QB,ATL,True,True,3629.0,17.5,137.9,1.6,0.0,0.0,0.0,238.55,3-18,238.41,2026-09-21
James Cook,james cook,RB,BUF,True,True,0.0,0.0,1269.2,10.1,31.7,259.1,1.5,238.28,3-18,238.68,2026-09-21
Jacoby Brissett,jacoby brissett,QB,ARI,True,True,3436.3,17.5,200.4,1.6,0.0,0.0,0.0,237.09,3-18,236.77,2026-09-21
Chase Brown,chase brown,RB,CIN,True,True,0.0,0.0,1081.4,7.9,58.8,374.9,2.3,236.23,3-18,236.30,2026-09-21
Saquon Barkley,saquon barkley,RB,PHI,True,True,0.0,0.0,1226.5,7.9,37.6,316.0,2.3,234.25,3-18,234.09,2026-09-21
Deshaun Watson,deshaun watson,QB,CLE,True,True,3170.7,14.1,391.5,1.8,0.0,0.0,0.0,233.18,3-18,232.92,2026-09-21
Cameron Ward,cameron ward,QB,TEN,True,True,3404.5,14.7,192.5,2.4,0.0,0.0,0.0,228.63,3-18,228.57,2026-09-21
Justin Jefferson,justin jefferson,WR,MIN,True,True,0.0,0.0,9.7,0.1,101.2,1257.5,8.4,228.32,3-18,227.89,2026-09-21
Jayden Daniels,jayden daniels,QB,WSH,True,True,2542.0,13.5,532.4,3.0,0.0,0.0,0.0,226.92,3-18,226.87,2026-09-21
Bucky Irving,bucky irving,RB,TB,True,True,0.0,0.0,1111.0,6.8,48.9,356.3,2.0,223.98,3-18,223.69,2026-09-21
Aaron Rodgers,aaron rodgers,QB,PIT,True,True,3413.3,18.1,98.5,0.7,0.0,0.0,0.0,222.98,3-18,223.15,2026-09-21
Javonte Williams,javonte williams,RB,DAL,True,True,0.0,0.0,1087.4,10.1,38.1,228.3,1.2,218.42,3-18,218.62,2026-09-21
Breece Hall,breece hall,RB,NYJ,True,True,0.0,0.0,1025.8,7.0,47.6,377.8,1.9,217.56,3-18,217.97,2026-09-21
CeeDee Lamb,ceedee lamb,WR,DAL,True,True,0.0,0.0,11.1,0.1,95.1,1157.9,8.1,213.65,3-18,213.88,2026-09-21
Omarion Hampton,omarion hampton,RB,LAC,True,True,0.0,0.0,1089.0,8.3,33.6,229.7,0.9,203.87,3-18,203.73,2026-09-21
Cameron Skattebo,cameron skattebo,RB,NYG,True,True,0.0,0.0,1107.9,8.9,24.0,184.3,1.1,201.22,3-18,201.18,2026-09-21
Chris Olave,chris olave,WR,NO,True,True,0.0,0.0,0.0,0.0,85.4,1105.5,7.3,197.05,3-18,197.03,2026-09-21
Trey McBride,trey mcbride,TE,ARI,True,True,0.0,0.0,0.0,0.0,108.2,999.7,6.7,194.27,3-18,194.51,2026-09-21
Zay Flowers,zay flowers,WR,BAL,True,True,0.0,0.0,49.4,0.4,74.1,1129.7,5.9,192.76,3-18,192.74,2026-09-21
Nico Collins,nico collins,WR,HOU,True,True,0.0,0.0,10.3,0.1,82.2,1074.9,6.9,191.62,3-18,191.21,2026-09-21
Kyren Williams,kyren williams,RB,LAR,True,True,0.0,0.0,866.3,8.9,34.3,221.1,1.9,190.69,3-18,191.04,2026-09-21
Drake London,drake london,WR,ATL,True,True,0.0,0.0,19.7,0.2,85.1,1104.7,5.7,190.39,3-18,190.19,2026-09-21
Malik Nabers,malik nabers,WR,NYG,True,True,0.0,0.0,21.0,0.2,77.3,1038.7,7.3,189.62,3-18,189.10,2026-09-21
DeVonta Smith,devonta smith,WR,PHI,True,True,0.0,0.0,0.0,0.0,87.8,1066.8,6.1,187.18,3-18,187.19,2026-09-21
Parker Washington,parker washington,WR,JAX,True,True,0.0,0.0,35.1,0.2,80.6,1061.4,5.9,186.55,3-18,186.72,2026-09-21
Chuba Hubbard,chuba hubbard,RB,CAR,True,True,0.0,0.0,909.9,5.7,42.6,277.0,1.7,184.39,3-18,184.50,2026-09-21
Tetairoa McMillan,tetairoa mcmillan,WR,CAR,True,True,0.0,0.0,0.0,0.0,71.0,1083.1,6.7,184.01,3-18,183.86,2026-09-21
D'Andre Swift,dandre swift,RB,CHI,True,True,0.0,0.0,948.7,6.6,32.2,264.2,0.9,182.39,3-18,182.02,2026-09-21
Fernando Mendoza,fernando mendoza,QB,LV,True,True,2496.5,13.3,183.7,1.6,0.0,0.0,0.0,181.03,3-18,181.31,2026-09-21
Jeremiyah Love,jeremiyah love,RB,ARI,True,True,0.0,0.0,801.5,5.6,46.2,337.6,1.4,179.01,3-18,179.20,2026-09-21
Christian Watson,christian watson,WR,GB,True,True,0.0,0.0,10.2,0.1,57.6,975.1,8.1,176.53,3-18,176.59,2026-09-21
Garrett Wilson,garrett wilson,WR,NYJ,True,True,0.0,0.0,9.8,0.1,84.3,979.9,5.7,175.92,3-18,175.96,2026-09-21
George Pickens,george pickens,WR,DAL,True,True,0.0,0.0,0.0,0.0,70.2,977.5,6.9,174.25,3-18,173.99,2026-09-21
Jaylen Warren,jaylen warren,RB,PIT,True,True,0.0,0.0,843.3,4.4,44.2,312.2,1.6,173.65,3-18,173.64,2026-09-21
Quinshon Judkins,quinshon judkins,RB,CLE,True,True,0.0,0.0,934.6,5.6,35.1,241.3,0.7,172.94,3-18,172.96,2026-09-21
Davante Adams,davante adams,WR,LAR,True,True,0.0,0.0,0.0,0.0,63.6,895.0,8.3,171.10,3-18,171.18,2026-09-21
Jalen Coker,jalen coker,WR,CAR,True,True,0.0,0.0,0.0,0.0,82.0,963.8,5.6,170.98,3-18,170.71,2026-09-21
Tee Higgins,tee higgins,WR,CIN,True,True,0.0,0.0,0.0,0.0,67.3,920.0,7.1,168.25,3-18,168.34,2026-09-21
Rhamondre Stevenson,rhamondre stevenson,RB,NE,True,True,0.0,0.0,643.9,6.0,40.4,326.9,2.0,165.28,3-18,165.68,2026-09-21
Emeka Egbuka,emeka egbuka,WR,TB,True,True,0.0,0.0,10.1,0.1,59.8,963.4,6.2,165.05,3-18,164.74,2026-09-21
David Montgomery,david montgomery,RB,HOU,True,True,0.0,0.0,885.1,7.2,23.7,169.5,0.6,164.11,3-18,163.95,2026-09-21
