player,player_norm,pos,team,health,games_reported,pg_snaps,pg_cmp,pg_att,pg_pass_yds,pg_pass_td,pg_int,pg_sacks,pg_rush_att,pg_rush_yds,pg_rush_td,pg_fum,pg_tgt,pg_rec,pg_rec_yds,pg_rec_td,share_rush,share_tgt,rz_std_ppg,rz_half_ppr_ppg,rz_ppr_ppg,razzball_snapshot_date
Josh Allen,josh allen,QB,BUF,,32.0,62.625,21.9688,31.2812,240.0,1.5,0.7125,1.6812,6.975,35.4344,0.6875,0.1344,0.0,0.0,0.0,0.0,0.0,0.0,21.6,21.6,21.6,2026-09-22
Jalen Hurts,jalen hurts,QB,PHI,,32.0,62.4688,20.9688,30.5312,225.0625,1.4969,0.4875,1.9,7.3375,29.8594,0.4094,0.1469,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.2,19.2,2026-09-22
Lamar Jackson,lamar jackson,QB,BAL,,32.0,62.8438,20.4688,29.5,230.125,1.5375,0.6531,1.8406,6.7594,34.4031,0.2156,0.175,0.0,0.0,0.0,0.0,0.0,0.0,18.4,18.4,18.4,2026-09-22
Drake Maye,drake maye,QB,NE,,32.0,62.5938,21.5312,31.3125,230.625,1.6031,0.7125,2.3,6.4531,29.2344,0.2375,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,18.1,18.1,18.1,2026-09-22
Caleb Williams,caleb williams,QB,CHI,Q,32.0,62.3125,20.7188,31.25,226.0312,1.5281,0.5031,1.6656,5.3063,25.4937,0.1969,0.0969,0.0,0.0,0.0,0.0,0.0,0.0,17.7,17.7,17.7,2026-09-22
Bo Nix,bo nix,QB,DEN,,32.0,63.4688,23.5625,34.9688,244.375,1.5344,0.5813,1.1125,5.2687,22.0375,0.1187,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,17.5,2026-09-22
Jordan Love,jordan love,QB,GB,,32.0,61.9375,21.7812,31.8438,248.1562,1.5719,0.5062,1.2,3.8062,15.9344,0.1437,0.1156,0.0,0.0,0.0,0.0,0.0,0.0,17.4,17.4,17.4,2026-09-22
Patrick Mahomes,patrick mahomes,QB,KC,,32.0,62.7812,21.9688,31.625,229.9375,1.5344,0.775,1.5875,4.8344,26.6812,0.1812,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,17.4,17.4,17.4,2026-09-22
Dak Prescott,dak prescott,QB,DAL,,32.0,60.9062,22.3125,32.0938,247.9375,1.5406,0.5062,1.7,3.8312,14.3531,0.1875,0.1562,0.0,0.0,0.0,0.0,0.0,0.0,17.3,17.3,17.3,2026-09-22
Justin Herbert,justin herbert,QB,LAC,,32.0,62.5938,21.75,31.5312,226.9375,1.525,0.7375,2.3969,4.8063,24.9719,0.1656,0.1844,0.0,0.0,0.0,0.0,0.0,0.0,16.8,16.8,16.8,2026-09-22
Trevor Lawrence,trevor lawrence,QB,JAC,,32.0,62.9688,22.5938,33.5,244.1562,1.4844,0.8844,2.0875,4.8,18.9344,0.1812,0.175,0.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,16.6,2026-09-22
C.J. Stroud,cj stroud,QB,HOU,,32.0,62.9688,22.0312,32.125,240.8125,1.4688,0.6687,1.8813,4.225,17.3938,0.1375,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,16.6,2026-09-22
Matthew Stafford,matthew stafford,QB,LAR,,32.0,61.4375,22.5,32.625,247.2812,1.7406,0.5156,1.3406,2.8906,3.3687,0.1062,0.1313,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,16.5,2026-09-22
Joe Burrow,joe burrow,QB,CIN,,32.0,61.75,24.25,34.875,266.7188,1.625,0.775,1.7719,2.85,5.2969,0.0719,0.15,0.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,16.2,2026-09-22
Jaxson Dart,jaxson dart,QB,NYG,D,32.0,59.7812,20.1562,29.75,198.5938,1.2531,0.5875,2.5844,5.9719,30.4187,0.2687,0.1281,0.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,16.2,2026-09-22
Jared Goff,jared goff,QB,DET,,32.0,63.1562,23.6562,33.4688,260.4062,1.5594,0.5312,1.7969,2.3094,4.5344,0.0719,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1,2026-09-22
Baker Mayfield,baker mayfield,QB,TB,,32.0,62.4375,21.0,31.25,226.2188,1.3969,0.625,1.8813,4.3375,24.925,0.1031,0.2906,0.0,0.0,0.0,0.0,0.0,0.0,15.9,15.9,15.9,2026-09-22
Daniel Jones,daniel jones,QB,IND,,32.0,59.875,20.8125,30.5312,219.9375,1.3188,0.8125,1.6469,3.9438,13.4656,0.3719,0.2219,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.6,15.6,2026-09-22
Bryce Young,bryce young,QB,CAR,,32.0,61.7812,21.4688,31.5312,231.5625,1.3125,0.7594,1.725,3.9062,17.4688,0.1906,0.1656,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.6,15.6,2026-09-22
Sam Darnold,sam darnold,QB,SEA,Q,31.0,62.7742,22.3548,32.129,247.3226,1.6258,0.8806,1.5419,3.1677,9.9065,0.1097,0.171,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,2026-09-22
Brock Purdy,brock purdy,QB,SF,,32.0,61.2188,22.6562,31.9375,223.9062,1.575,1.0188,0.9781,3.7687,12.9844,0.1844,0.1219,0.0,0.0,0.0,0.0,0.0,0.0,15.4,15.4,15.4,2026-09-22
Tyler Shough,tyler shough,QB,NO,,32.0,62.3438,21.9062,32.1562,212.0938,1.2937,0.6875,2.7375,4.4906,15.1906,0.3219,0.2094,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,15.3,2026-09-22
Cameron Ward,cameron ward,QB,TEN,,32.0,62.0938,22.25,32.875,232.3438,1.2625,0.5312,3.0156,3.75,14.6375,0.1781,0.2844,0.0,0.0,0.0,0.0,0.0,0.0,15.2,15.2,15.2,2026-09-22
Kyler Murray,kyler murray,QB,MIN,,30.0,57.1,19.9333,28.3333,212.5333,1.22,0.5967,1.2733,6.29,31.47,0.1667,0.1167,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1,2026-09-22
Deshaun Watson,deshaun watson,QB,CLE,,32.0,62.0938,21.8125,33.1562,228.4688,1.3,0.7375,2.15,3.7531,14.5531,0.075,0.1844,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4,2026-09-22
Aaron Rodgers,aaron rodgers,QB,PIT,,32.0,60.25,22.375,32.3125,222.0938,1.3188,0.5156,1.575,2.4312,5.4156,0.1,0.1344,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,13.9,2026-09-22
Geno Smith,geno smith,QB,NYJ,,32.0,59.2188,20.3125,29.5938,208.0938,1.2281,0.8063,2.2313,4.3281,12.2469,0.2094,0.1719,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,13.8,2026-09-22
Malik Willis,malik willis,QB,MIA,,32.0,59.3438,19.875,29.5625,171.9375,1.075,0.6937,1.8875,6.1281,33.1281,0.1656,0.1781,0.0,0.0,0.0,0.0,0.0,0.0,13.7,13.7,13.7,2026-09-22
Jacoby Brissett,jacoby brissett,QB,ARI,,32.0,56.2188,19.8125,28.6562,207.7812,1.0781,0.6406,1.9812,4.2094,16.2219,0.1562,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,13.4,2026-09-22
Fernando Mendoza,fernando mendoza,QB,LV,,31.0,51.0968,18.0323,26.0323,177.5161,0.9742,0.5645,2.2645,4.5226,17.7065,0.1,0.2323,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,2026-09-22
Jayden Daniels,jayden daniels,QB,WAS,D,32.0,36.5625,12.1562,17.625,133.9062,0.9031,0.3094,1.2719,4.2094,19.3844,0.1625,0.1031,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,2026-09-22
Michael Penix Jr.,michael penix jr,QB,ATL,P,29.0,40.1379,14.4138,20.8621,146.3103,0.7207,0.4448,1.0862,1.9724,6.9759,0.1345,0.1448,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.8,8.8,2026-09-22
Marcus Mariota,marcus mariota,QB,WAS,,31.0,26.0968,8.5161,12.5161,95.3548,0.5871,0.329,0.8968,2.7968,15.2387,0.0839,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,2026-09-22
Tua Tagovailoa,tua tagovailoa,QB,ATL,Q,30.0,30.8667,10.9,15.7667,114.1667,0.5767,0.5633,0.8467,1.3767,2.5933,0.05,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,2026-09-22
